Date&Time,Energy used (Wh)
12/1/2016 0:00,40
12/1/2016 0:10,30
12/1/2016 0:20,40
12/1/2016 0:30,50
12/1/2016 0:40,310
12/1/2016 0:50,380
12/1/2016 1:00,380
12/1/2016 1:10,370
12/1/2016 1:20,120
12/1/2016 1:30,50
12/1/2016 1:40,40
12/1/2016 1:50,50
12/1/2016 2:00,40
12/1/2016 2:10,50
12/1/2016 2:20,50
12/1/2016 2:30,50
12/1/2016 2:40,40
12/1/2016 2:50,40
12/1/2016 3:00,30
12/1/2016 3:10,20
12/1/2016 3:20,20
12/1/2016 3:30,40
12/1/2016 3:40,50
12/1/2016 3:50,50
12/1/2016 4:00,40
12/1/2016 4:10,50
12/1/2016 4:20,40
12/1/2016 4:30,40
12/1/2016 4:40,40
12/1/2016 4:50,60
12/1/2016 5:00,50
12/1/2016 5:10,50
12/1/2016 5:20,40
12/1/2016 5:30,40
12/1/2016 5:40,40
12/1/2016 5:50,40
12/1/2016 6:00,50
12/1/2016 6:10,70
12/1/2016 6:20,40
12/1/2016 6:30,30
12/1/2016 6:40,20
12/1/2016 6:50,30
12/1/2016 7:00,40
12/1/2016 7:10,50
12/1/2016 7:20,60
12/1/2016 7:30,60
12/1/2016 7:40,70
12/1/2016 7:50,60
12/1/2016 8:00,140
12/1/2016 8:10,110
12/1/2016 8:20,90
12/1/2016 8:30,60
12/1/2016 8:40,60
12/1/2016 8:50,60
12/1/2016 9:00,50
12/1/2016 9:10,60
12/1/2016 9:20,50
12/1/2016 9:30,30
12/1/2016 9:40,40
12/1/2016 9:50,30
12/1/2016 10:00,260
12/1/2016 10:10,500
12/1/2016 10:20,450
12/1/2016 10:30,50
12/1/2016 10:40,60
12/1/2016 10:50,60
12/1/2016 11:00,50
12/1/2016 11:10,50
12/1/2016 11:20,50
12/1/2016 11:30,60
12/1/2016 11:40,60
12/1/2016 11:50,60
12/1/2016 12:00,60
12/1/2016 12:10,190
12/1/2016 12:20,220
12/1/2016 12:30,170
12/1/2016 12:40,390
12/1/2016 12:50,90
12/1/2016 13:00,60
12/1/2016 13:10,290
12/1/2016 13:20,130
12/1/2016 13:30,140
12/1/2016 13:40,240
12/1/2016 13:50,50
12/1/2016 14:00,60
12/1/2016 14:10,60
12/1/2016 14:20,60
12/1/2016 14:30,370
12/1/2016 14:40,200
12/1/2016 14:50,70
12/1/2016 15:00,50
12/1/2016 15:10,40
12/1/2016 15:20,40
12/1/2016 15:30,30
12/1/2016 15:40,30
12/1/2016 15:50,30
12/1/2016 16:00,30
12/1/2016 16:10,40
12/1/2016 16:20,50
12/1/2016 16:30,40
12/1/2016 16:40,40
12/1/2016 16:50,40
12/1/2016 17:00,60
12/1/2016 17:10,60
12/1/2016 17:20,210
12/1/2016 17:30,380
12/1/2016 17:40,370
12/1/2016 17:50,230
12/1/2016 18:00,80
12/1/2016 18:10,90
12/1/2016 18:20,70
12/1/2016 18:30,40
12/1/2016 18:40,40
12/1/2016 18:50,30
12/1/2016 19:00,50
12/1/2016 19:10,50
12/1/2016 19:20,60
12/1/2016 19:30,50
12/1/2016 19:40,60
12/1/2016 19:50,60
12/1/2016 20:00,60
12/1/2016 20:10,50
12/1/2016 20:20,50
12/1/2016 20:30,50
12/1/2016 20:40,50
12/1/2016 20:50,50
12/1/2016 21:00,60
12/1/2016 21:10,60
12/1/2016 21:20,40
12/1/2016 21:30,30
12/1/2016 21:40,30
12/1/2016 21:50,30
12/1/2016 22:00,40
12/1/2016 22:10,50
12/1/2016 22:20,50
12/1/2016 22:30,50
12/1/2016 22:40,40
12/1/2016 22:50,50
12/1/2016 23:00,40
12/1/2016 23:10,40
12/1/2016 23:20,40
12/1/2016 23:30,40
12/1/2016 23:40,50
12/1/2016 23:50,50
13/1/2016 0:00,50
13/1/2016 0:10,30
13/1/2016 0:20,20
13/1/2016 0:30,30
13/1/2016 0:40,20
13/1/2016 0:50,40
13/1/2016 1:00,50
13/1/2016 1:10,60
13/1/2016 1:20,50
13/1/2016 1:30,40
13/1/2016 1:40,40
13/1/2016 1:50,50
13/1/2016 2:00,40
13/1/2016 2:10,40
13/1/2016 2:20,50
13/1/2016 2:30,50
13/1/2016 2:40,50
13/1/2016 2:50,40
13/1/2016 3:00,30
13/1/2016 3:10,20
13/1/2016 3:20,20
